,Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,img_path,actual_price_yen,embedding_path,embedding,price_ave,output
0,72,"AmazonBasics High Speed 55 Watt Oscillating Pedestal Fan, 400mm Sweep Length, White (Without Remote)",appliances,All Appliances,https://m.media-amazon.com/images/I/71QfUcEOg8L._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-400mm-Pedestal-Remote-White/dp/B07NPBG1B4/ref=sr_1_73?qid=1679135589&s=appliances&sr=1-73,4.1,6113,"₹2,099",3300.0,/root/graduation_thetis/causal-bert-pytorch/input/images/72.jpg,363000.0,/root/graduation_thetis/causal-bert-pytorch/input/embeddings/embedding_0.pkl,29.492722,1,1863.892721557617
1,73,Farberware Mini Blender Fruit Mixer Machine Portable Electric Juicer grinder Cup 380ML Personal Blender Smoothie Maker USB...,appliances,All Appliances,https://m.media-amazon.com/images/I/716mmFt0PGL._AC_UL320_.jpg,https://www.amazon.in/Farberware-Portable-Electric-Rechargeable-Extractor/dp/B0BRXQD38T/ref=sr_1_74_mod_primary_new?qid=1679135589&s=appliances&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-74,2.9,6071,₹499,1199.0,/root/graduation_thetis/causal-bert-pytorch/input/images/73.jpg,131890.0,/root/graduation_thetis/causal-bert-pytorch/input/embeddings/embedding_1.pkl,68.038506,0,1889.3385055541992
2,74,"PHILIPS Handheld Garment Steamer STH3000/20 - Compact & Foldable, Convenient Vertical Steaming, 1000 Watt Quick Heat Up, u...",appliances,All Appliances,https://m.media-amazon.com/images/I/71W2XPQdBqL._AC_UL320_.jpg,https://www.amazon.in/PHILIPS-Handheld-Garment-STH3000-20/dp/B08TM71L54/ref=sr_1_75?qid=1679135589&s=appliances&sr=1-75,4.0,1553,"₹3,995",4095.0,/root/graduation_thetis/causal-bert-pytorch/input/images/74.jpg,450450.0,/root/graduation_thetis/causal-bert-pytorch/input/embeddings/embedding_2.pkl,43.871647,1,510.2716468811035
3,75,"Cookwell Bullet Mixer Grinder (5 Jars, 3 Blades, Silver)",appliances,All Appliances,https://m.media-amazon.com/images/I/81yobRRV8nL._AC_UL320_.jpg,https://www.amazon.in/Cookwell-Bullet-Mixer-Grinder-Silver/dp/B097XJQZ8H/ref=sr_1_76?qid=1679135589&s=appliances&sr=1-76,4.1,9592,"₹2,479",6000.0,/root/graduation_thetis/causal-bert-pytorch/input/images/75.jpg,660000.0,/root/graduation_thetis/causal-bert-pytorch/input/embeddings/embedding_3.pkl,45.319656,1,2923.41965637207
4,76,"Bajaj ATX 4 750-Watt Pop-up Toaster, 2-Slice Automatic Pop up Toaster with Dust Cover & Slide Out Crumb Tray, 6-Level Brow...",appliances,All Appliances,https://m.media-amazon.com/images/I/51D5T7TGVbL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-ATX-750-Watt-Pop-up-Toaster/dp/B0073QGKAS/ref=sr_1_77?qid=1679135589&s=appliances&sr=1-77,4.3,9520,"₹1,499",2250.0,/root/graduation_thetis/causal-bert-pytorch/input/images/76.jpg,247500.0,/root/graduation_thetis/causal-bert-pytorch/input/embeddings/embedding_4.pkl,51.195602,0,2907.195602416992
5,77,HUL Pureit Germkill kit for Classic 23 L water purifier - 3000 L Capacity,appliances,All Appliances,https://m.media-amazon.com/images/I/61QNGI22XDL._AC_UL320_.jpg,https://www.amazon.in/HUL-Pureit-Germkill-Classic-Purifier/dp/B00H3H03Q4/ref=sr_1_78?qid=1679135589&s=appliances&sr=1-78,4.2,13467,,1130.0,/root/graduation_thetis/causal-bert-pytorch/input/images/77.jpg,124300.0,/root/graduation_thetis/causal-bert-pytorch/input/embeddings/embedding_5.pkl,58.72562,0,4098.825620269776
6,78,KENT 16069 Super Egg Boiler 400 Watts | Boils Upto 6 Eggs at a Time | 3 Boiling Modes | Stainless Steel Body and Heating P...,appliances,All Appliances,https://m.media-amazon.com/images/I/71+2IuZ78XL._AC_UL320_.jpg,https://www.amazon.in/Kent-Super-Boiler-16069-Silver/dp/B08JQZP7G1/ref=sr_1_79?qid=1679135589&s=appliances&sr=1-79,4.3,12213,"₹1,115",1800.0,/root/graduation_thetis/causal-bert-pytorch/input/images/78.jpg,198000.0,/root/graduation_thetis/causal-bert-pytorch/input/embeddings/embedding_6.pkl,53.276386,0,3717.1763862609864
7,79,HUL Pureit Germkill kit for Classic 23 L water purifier - 1500 L Capacity,appliances,All Appliances,https://m.media-amazon.com/images/I/61h7YWM2+oL._AC_UL320_.jpg,https://www.amazon.in/HUL-Pureit-Germkill-Classic-Purifier/dp/B00E9G8KOY/ref=sr_1_80?qid=1679135589&s=appliances&sr=1-80,4.1,11108,,600.0,/root/graduation_thetis/causal-bert-pytorch/input/images/79.jpg,66000.0,/root/graduation_thetis/causal-bert-pytorch/input/embeddings/embedding_7.pkl,50.816357,0,3383.2163566589356
8,80,"Bajaj Immersion Rod Water Heater 1500 Watts, Silver",appliances,All Appliances,https://m.media-amazon.com/images/I/51bfOnh2M4L._AC_UL320_.jpg,https://www.amazon.in/Bajaj-1500-Watt-Immersion-Heater-Plug/dp/B00ABMASXG/ref=sr_1_81?qid=1679135589&s=appliances&sr=1-81,4.1,36955,₹539,665.0,/root/graduation_thetis/causal-bert-pytorch/input/images/80.jpg,73150.0,/root/graduation_thetis/causal-bert-pytorch/input/embeddings/embedding_8.pkl,35.64241,0,11122.14241027832
9,81,"APTODEN Electric Handheld Milk Wand Mixer Frother for Latte Coffee Hot Milk, Frother for Coffee, Egg Beater, Hand Blender,...",appliances,All Appliances,https://m.media-amazon.com/images/I/61+74y2T37L._AC_UL320_.jpg,https://www.amazon.in/APTODEN-Electric-Handheld-Frother-Blender/dp/B09VGZN232/ref=sr_1_82?qid=1679135589&s=appliances&sr=1-82,4.3,821,₹329,799.0,/root/graduation_thetis/causal-bert-pytorch/input/images/81.jpg,87890.0,/root/graduation_thetis/causal-bert-pytorch/input/embeddings/embedding_9.pkl,45.145813,0,291.4458129882812
